2022-05-23 02:44:38.311 - sdk-generator - INFO  --- [main] org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-05-23 02:44:38.311 - sdk-generator - INFO  --- [main] s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2022-05-23 02:44:38.327 - sdk-generator - INFO  --- [main] s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-05-23 02:44:38.352 - sdk-generator - INFO  --- [main] s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2022-05-23 02:44:38.417 - sdk-generator - INFO  --- [main] com.saidake.generator.GeneratorApp - Started GeneratorApp in 13.029 seconds (JVM running for 14.322)
2022-05-23 02:44:38.423 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入service文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\service\TUserShareService.java
2022-05-23 02:44:38.423 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入serviceImpl文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\service\impl\TUserShareServiceImpl.java
2022-05-23 02:44:38.424 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入controller文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\controller\TUserShareController.java
2022-05-23 02:44:38.426 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 创建新文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\model\request\tUserShare\TUserShareLoginRequest.java
2022-05-23 02:44:38.427 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入特殊服务dto文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\model\request\tUserShare\TUserShareLoginRequest.java
2022-05-23 02:44:38.428 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 创建新文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\model\request\tUserShare\TUserShareCancelAccountRequest.java
2022-05-23 02:44:38.428 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入特殊服务dto文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\model\request\tUserShare\TUserShareCancelAccountRequest.java
2022-05-23 02:48:40.700 - sdk-generator - INFO  --- [main] com.saidake.generator.GeneratorApp - The following profiles are active: bluetooth-app
2022-05-23 02:48:41.262 - sdk-generator - INFO  --- [main] o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-05-23 02:48:41.265 - sdk-generator - INFO  --- [main] o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-05-23 02:48:41.283 - sdk-generator - INFO  --- [main] o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
2022-05-23 02:48:41.459 - sdk-generator - INFO  --- [main] o.springframework.cloud.context.scope.GenericScope - BeanFactory id=994d7b6e-ae48-30ed-a5b8-3e8ac8bc426a
2022-05-23 02:48:41.689 - sdk-generator - INFO  --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 48123 (http)
2022-05-23 02:48:41.696 - sdk-generator - INFO  --- [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-05-23 02:48:41.696 - sdk-generator - INFO  --- [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2022-05-23 02:48:41.783 - sdk-generator - INFO  --- [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
